Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,CALCULATED R-GPCD 2014 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),CALCULATED R-GPCD 2013 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections
Fountain Valley  City of,Permanent Water Restrictions - Level 0 ,Yes,Aug-14,964.1,1021.8,AF,"Since we bill on a two month cycle, the % of residential use is more accurate over a two month period.  We verified that in July, 5 cycles were billed versus 4 cycles last year.    Next month's August numbers should include a smaller number of customers with 3 cycles billed instead of 4.  The City is expected to complete installation of automated meter equipment in Summer 2015 which will provide more accurate billing on a monthly basis."," 59,227 ",,60 incidents of water waste were tracked and the residents were notified.  Door Hangers were left for residents.  Property Owners/Landscape Managers were notified by phone and email.,The City sent out information postcards to every postal customer in the City.  The City also placed ads in the local newsletters and in the newspaper.  The City is becoming more aggressive in its outreach and educational effort.  All City staff is encouraged to report incidents of waste and residents seem to be increasingly aware of the requirements.,237.8,AF,314153360.8,332954988.1,97.53,103.37,57%,DATA CORRECTION
Fountain Valley  City of,Permanent Water Restrictions - Level 0 ,Yes,Sep-14,916.3,993.2,AF,"Due to the timing of how Orange County agencies report monthly production to MWDOC, the best we can do at this time is to report Fountain Valley's Indirect Potable Reuse (IPR) amount one month after the month of calculation.  The August amount shown below was used to calculate the September GPCD.   Fountain Valley's Total Monthly Water Production was 916.3 acre feet for September 2014. Approximately 203.9 acre feet was from IPR. Therefore, our adjusted Total Monthly Water Production-IPR is 712.4 acre feet.  Our adjusted GPCD-IPR is 70.46 down from 90.63."," 59,227 ",70.46,75 incidents of water waste were tracked in September and the residents were notified.  Door Hangers and letters were left for residents.  Property Owners/Landscape Managers were notified by phone and email.,The City placed an ad in the local newsletter that went out to every postal customer in the City.  The City is becoming more aggressive in its outreach and educational effort.  All City staff is encouraged to report incidents of waste and residents are increasingly aware of the requirements.,144.09,AF,298577662.6,323635637.3,90.57,98.18,54%,No Correction Needed
Fountain Valley  City of,Permanent Water Restrictions - Level 0 ,Yes,Oct-14,877.8,886.9,AF,"Due to the timing of how Orange County agencies report monthly production to MWDOC, the best we can do at this time is to report Fountain Valley's Indirect Potable Reuse (IPR) amount one month after the month of calculation.  The IPR amount shown below was used to calculate this month's GPCD."," 59,227 ",77.61,27 incidents of water waste were reported and tracked last month and the residents were notified.  Door Hangers and letters were left for residents.  Property Owners/Landscape Managers were notified by phone and email.,"The City is conducting record numbers of turf removal projects.  In 2013, the City had 2 total applicants.  In 2014 to date, the City has had over 50 applicants with most of them occurring after July 2014.  City staff and residents continue to report incidents of waste and residents are increasingly aware of the requirements.",136.23,AF,286032382.6,288997630.6,98.93,99.95,64%,No Correction Needed
Fresno  City of,2,Yes,Jun-14,4993415110,5679261080,G,Estimate based upon single- and multiple-family meter data.," 503,077 ",,"1156 ""stop and advise"" by field patrols, investigated 85 customer water waste complaints, and 210 field inspections by customer request.",,,,4993415110,5679261080,172.05,195.68,52%,No Correction Needed
Fresno  City of,2,Yes,Jul-14,4500013160,5679261080,G,Estimate based upon single- and multiple-family residential meter data.," 503,077 ",,"391 ""stop and advise"" by field patrols, responded to 222 customer water waste complaints, and performed 301 customer-requested field inspections. ",,,,4500013160,5679261080,170.24,214.86,59%,No Correction Needed
Fresno  City of,2,Yes,Aug-14,4613598690,5514113800,G,," 503,077 ",,,,,,4613598690,5514113800,146.44,175.02,50%,No Correction Needed
Fresno  City of,2,Yes,Sep-14,4104822160,4756169230,G,," 503,077 ",,,,134.9,G,4104822160,4756169230,134.90,156.31,50%,No Correction Needed
Fresno  City of,2,Yes,Oct-14,3691958720,4031750130,G,," 503,077 ",116,,,,,3691958720,4031750130,115.53,126.16,49%,No Correction Needed
Fruitridge Vista Water Company,Two,Yes,Jun-14,111071200,134914800,G,," 16,800 ",,,,,,111071200,134914800,220.38,267.69,100%,No Correction Needed
Fruitridge Vista Water Company,Two,Yes,Jul-14,141618000,185431700,G,," 16,800 ",,,,,,141618000,185431700,271.92,356.05,100%,No Correction Needed
Fruitridge Vista Water Company,Two,Yes,Aug-14,104618700,141895300,G,," 16,800 ",,,,,,104618700,141895300,200.88,272.46,100%,No Correction Needed
Fruitridge Vista Water Company,2,Yes,Sep-14,122130000,147910000,G,," 16,800 ",242,,,,,122130000,147910000,242.32,293.47,100%,No Correction Needed
Fruitridge Vista Water Company,2,Yes,Oct-14,86054600,98515300,G,," 16,800 ",170,,,,,86054600,98515300,165.24,189.16,100%,No Correction Needed
Fullerton  City of,One,Yes,Jun-14,2874.3,2992.6,AF,," 138,000 ",,,,,,936594756.6,975142980.4,169.67,176.66,75%,No Correction Needed
Fullerton  City of,One,Yes,Jul-14,2985.4,3024.35,AF,," 138,000 ",,,,,,972796850.2,985488763.2,170.55,172.77,75%,No Correction Needed
Fullerton  City of,Phase One,Yes,Aug-14,2903.23,3066,AF,," 138,000 ",,,,,,946021638.4,999060475.2,165.85,175.15,75%,No Correction Needed
Fullerton  City of,1,Yes,Sep-14,2766.17,2929.43,AF,," 138,000 ",134.99,,,,,901360441.8,954558945.8,134.99,142.95,62%,No Correction Needed
Fullerton  City of,One,Yes,Oct-14,2558.5,2651.5,AF,," 138,000 ",130.6,,,,,833690876,863995058.7,130.57,135.31,67%,No Correction Needed
Galt  City of,2,Yes,Jul-14,228.1,252.4,MG,," 24,289 ",,,,61.6,MG,228100000,252400000,169.65,187.72,56%,No Correction Needed
Galt  City of,2,Yes,Aug-14,199.4,239.4,MG,," 24,289 ",,,,30,MG,199400000,239400000,264.82,317.95,100%,No Correction Needed
Galt  City of,2,Yes,Sep-14,167.7,216.6,MG,," 24,289 ",186,,,,G,167700000,216600000,186.42,240.78,81%,No Correction Needed
Garden Grove  City of,1,Yes,Jun-14,2727.4,2661.5,AF,," 177,020 ",,Verbal education of restrictions to callers and written notifications to violators. ,,,,888727182,867253573,145.59,142.08,87%,No Correction Needed
Garden Grove  City of,1,Yes,Jul-14,2564.9,2560.7,AF,," 177,020 ",,Verbal education of restrictions and written notifications to violators. ,,,,835776325.1,834407749.1,129.46,129.24,85%,No Correction Needed
Garden Grove  City of,Permanent / Stage 1,Yes,Aug-14,2395.1,2389.9,AF,Percentage Residential Use is higher this month than the submitted numbers for June and July. This was due to a miscalculation -- June 2014 should have been 93% and July 2014 should have been 92%. ," 175,873 ",,"During the month of August, the City received 6 calls reporting water wasting activities. In response, our Water Manager mailed letters to the 6 residents to notify them of their violations.  ",,,,780446752.8,778752325.4,133.13,132.84,93%,No Correction Needed
Garden Grove  City of,"Permanent, Stage 1",Yes,Sep-14,2450.1,2683.6,AF,," 177,020 ",138.31,"There were 13 water violation reports during the month of September; 9 reports of overwatering/run-off and 4 reports of washing down driveways. The City mailed 12 notifications to violators and made an in person contact, educating violator.",,,,798368581.3,874454889.5,138.31,151.49,92%,No Correction Needed
Garden Grove  City of,"Permanent, Stage 1",Yes,Oct-14,2121.4,2379.2,AF,," 177,020 ",117.15,"In the month of October, the City of Garden Grove mailed out 9 violation notifications for water runoff. ",,,,691261217.2,775265715.1,117.15,131.39,93%,No Correction Needed
Georgetown Divide Public Utilities District,2,Yes,Jun-14,62.823,81.1,MG,Note:  The District also provides untreated irrigation water to a small number of customers.  Information relating to that usage is not included in this report.," 9,499 ",,,,,,62823000,81100000,220.45,284.59,100%,No Correction Needed
Georgetown Divide Public Utilities District,2,Yes,Jul-14,70.101,94.863,MG,Percentage of water produced primarily for residential with small portion to commercial.  Potable water generally not used for agriculture. District has non treated water for agricultural community.," 9,499 ",,,,,,70101000,94863000,238.06,322.15,100%,No Correction Needed
Georgetown Divide Public Utilities District,2,Yes,Aug-14,65.708,86.104,MG,Note:  The District also provided raw water (irrigation water) to a portion of the customers.  Those values have not been reported in this report summary.," 9,499 ",,,,,,65708000,86104000,223.14,292.40,100%,No Correction Needed
Georgetown Divide Public Utilities District,2,Yes,Sep-14,55.955,63.577,MG,Percentage of water produced primarily for residential with small portion to commercial.  Potable water generally not used for agriculture.  District has non-treated water for agricultural community.," 9,499 ",,,,,,55955000,63577000,196.35,223.10,100%,No Correction Needed
Georgetown Divide Public Utilities District,2,Yes,Oct-14,46.302,54.448,MG,"District also provides seasonal, non treated irrigation water."," 9,499 ",157,,,,,46302000,54448000,157.24,184.90,100%,No Correction Needed
Gilroy  City of,Level 1,,Jun-14,302.688,326.698,MG,," 52,413 ",,,,,,302688000,326698000,125.13,135.05,65%,No Correction Needed
Gilroy  City of,1,Yes,Jun-14,302.688,326.698,MG,," 52,413 ",,,,,,302688000,326698000,125.13,135.05,65%,No Correction Needed
Gilroy  City of,1,Yes,Jun-14,302.688,326.698,MG,," 52,413 ",,,,,,302688000,326698000,192.50,207.77,100%,No Correction Needed
Gilroy  City of,1,Yes,Jul-14,316.152,358.277,MG,," 52,413 ",,,,,,316152000,358277000,126.48,143.33,65%,No Correction Needed
Gilroy  City of,Level 1 ,Yes,Aug-14,300.325,340.375,MG,," 52,413 ",,,,,,300325000,340375000,120.14,136.17,65%,No Correction Needed
Gilroy  City of,Level 1 ,Yes,Sep-14,255.902,309.475,MG,," 52,413 ",102,,,,,255902000,309475000,105.79,127.93,65%,No Correction Needed
Gilroy  City of,Level 1 11%to 20%,Yes,Oct-14,243.277,278.95,MG,," 52,413 ",97,,,,,243277000,278950000,97.32,111.59,65%,No Correction Needed
Glendale  City of,2,Yes,Jun-14,2471.1,2550.5,AF,," 195,800 ",,,,189.8,AF,805211461.3,831084064.6,109.66,113.19,80%,No Correction Needed
Glendale  City of,Stage 2,Yes,Jul-14,2598.2,2668.3,AF,," 195,800 ",,,,217.4,AF,846627177.6,869469362.7,111.59,114.60,80%,No Correction Needed
Glendale  City of,II,Yes,Aug-14,2475.7,2758.9,AF,," 195,800 ",,,,120.5,AF,806710377.8,898991502,106.32,118.49,80%,No Correction Needed
Glendale  City of,Stage 2,Yes,Sep-14,2355,2570.8,AF,," 193,300 ",103.02,,,159,AF,767380110.6,837698848.5,103.22,112.68,78%,No Correction Needed
Glendale  City of,Stage 2,Yes,Oct-14,2208.29,2491.7,AF,," 193,300 ",97.1,,,185.73,AF,719574447.7,811924000.7,97.27,109.75,81%,No Correction Needed
Glendora  City of,1,Yes,Jun-14,553,408,MG,"The City of Glendora has been very proactive with our conservation efforts. In 2009 our Council adopted mandatory Stage-1 restrictions. Which included 2.5 full time employees which included 2 Conservation Officers and a Managment Analyst, dedicated to conservation. The success of our program is measured against a 3 years base average of 2006, 2007 & 2008. This year so far we have achieved a 12% residential reduction."," 48,200 ",,"No watering between 8am and 5pm. Excessive runoff is prohibited. Hoses must have shut off nozzles. Leaks must be repaired within 24 hrs. Restaurants provide water glasses only upon request. We green tag violators and issue fines for repeat offenders.  2.5 full time employees which included 2 Conservation Officers and a Management Analyst, dedicated to conservation. Two additional conservation officers have just been hired to patrol after hours for runoff. ","Water Use Efficiency surveys.  Presentations at 3dr, 5th and 6th grade classes. Poster Slogan Contests. Presentations at local clubs such as Rotary and Kiwanis. Large rebate program. $4 per sq/ft turf removal program ($2 MWD & $2 Glendora). Conservation booths and give aways at local events. ",,,553000000,408000000,325.07,239.83,85%,No Correction Needed
Glendora  City of,1,Yes,Jul-14,440,453,MG,"The City of Glendora has been very proactive with our conservation efforts. In 2009 our Council adopted mandatory Stage-1 restrictions. Which included 2.5 full time employees which included 2 Conservation Officers and a Managment Analyst, dedicated to conservation. The success of our program is measured against a 3 years base average of 2006, 2007 & 2008. This year so far we have achieved a 12% residential reduction."," 48,200 ",,"No watering between 8am and 5pm. Excessive runoff is prohibited. Hoses must have shut off nozzles. Leaks must be repaired within 24 hrs. Restaurants provide water glasses only upon request. We green tag violators and issue fines for repeat offenders.  2.5 full time employees which included 2 Conservation Officers and a Management Analyst, dedicated to conservation. Two additional conservation officers have just been hired to patrol after hours for runoff. ","Water Use Efficiency surveys.  Presentations at 3dr, 5th and 6th grade classes. Poster Slogan Contests. Presentations at local clubs such as Rotary and Kiwanis. Large rebate program. $4 per sq/ft turf removal program ($2 MWD & $2 Glendora). Conservation booths and give aways at local events. ",,,440000000,453000000,250.30,257.70,85%,No Correction Needed
Glendora  City of,1,Yes,Aug-14,1413,1526,AF,"The City of Glendora has been very proactive with our conservation efforts. In 2009 our Council adopted mandatory Stage-1 restrictions. Which included 2.5 full time employees which included 2 Conservation Officers and a Managment Analyst, dedicated to conservation. The success of our program is measured against a 3 years base average of 2006, 2007 & 2008. This year so far we have achieved a 12% residential reduction."," 48,200 ",,"No watering between 8am and 5pm. Excessive runoff is prohibited. Hoses must have shut off nozzles. Leaks must be repaired within 24 hrs. Restaurants provide water glasses only upon request. We green tag violators and issue fines for repeat offenders.  2.5 full time employees which included 2 Conservation Officers and a Management Analyst, dedicated to conservation. Two additional conservation officers have just been hired to patrol after hours for runoff. ","Water Use Efficiency surveys.  Presentations at 3dr, 5th and 6th grade classes. Poster Slogan Contests. Presentations at local clubs such as Rotary and Kiwanis. Large rebate program. $4 per sq/ft turf removal program ($2 MWD & $2 Glendora). Conservation booths and give aways at local events. ",,,460428066.4,497249277.6,246.51,266.23,80%,No Correction Needed
Glendora  City of,1,Yes,Sep-14,1195,1237,AF,"The City of Glendora has been very proactive with our conservation efforts. In 2009 our Council adopted mandatory Stage-1 restrictions. Which included 2.5 full time employees which included 2 Conservation Officers and a Managment Analyst, dedicated to conservation. The success of our program is measured against a 3 years base average of 2006, 2007 & 2008. This year so far we have achieved a 12% residential reduction."," 48,200 ",,"No watering between 8am and 5pm. Excessive runoff is prohibited. Hoses must have shut off nozzles. Leaks must be repaired within 24 hrs. Restaurants provide water glasses only upon request. We green tag violators and issue fines for repeat offenders.  2.5 full time employees which included 2 Conservation Officers and a Management Analyst, dedicated to conservation. Two additional conservation officers have just been hired to patrol after hours for runoff. ","Water Use Efficiency surveys.  Presentations at 3dr, 5th and 6th grade classes. Poster Slogan Contests. Presentations at local clubs such as Rotary and Kiwanis. Large rebate program. $4 per sq/ft turf removal program ($2 MWD & $2 Glendora). Conservation booths and give aways at local events. ",,,389392455.3,403078215.2,228.90,236.94,85%,No Correction Needed
Glendora  City of,1,Yes,Oct-14,1177,1164,AF,"The City of Glendora has been very proactive with our conservation efforts. In 2009 our Council adopted mandatory Stage-1 restrictions. Which included 2.5 full time employees which included 2 Conservation Officers and a Managment Analyst, dedicated to conservation. The success of our program is measured against a 3 years base average of 2006, 2007 & 2008. This year so far we have achieved a 12% residential reduction.    Two additional production days in Oct. 2014 vrs. 2013"," 48,200 ",199,"No watering between 8am and 5pm. Excessive runoff is prohibited. Hoses must have shut off nozzles. Leaks must be repaired within 24 hrs. Restaurants provide water glasses only upon request. We green tag violators and issue fines for repeat offenders.   2.5 full time employees which included 2 Conservation Officers and a Management Analyst, dedicated to conservation. Two additional conservation officers have just been hired to patrol after hours for runoff.  ","Water Use Efficiency surveys.   Presentations at 3dr, 5th and 6th grade classes.  Poster Slogan Contests.  Presentations at local clubs such as Rotary and Kiwanis.  Large rebate program.  $4 per sq/ft turf removal program ($2 MWD & $2 Glendora).  Conservation booths and give aways at local events.  ",,,383527129.6,379291061,218.18,215.77,85%,No Correction Needed
Golden State Water Company Artesia,Stage 2,Yes,Jun-14,509.5,517.5,AF,," 53,318 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",3.6,AF,166021302.1,168628113.5,97.57,99.10,94%,No Correction Needed
Golden State Water Company Artesia,Stage 2,Yes,Jul-14,545.6,523.2,AF,," 53,318 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",7.4,AF,177784538.6,170485466.6,101.11,96.96,94%,No Correction Needed
Golden State Water Company Artesia,2,Yes,Aug-14,521.8,539.1,AF,," 53,318 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",40.6,AF,170029274.6,175666504.3,96.70,99.90,94%,No Correction Needed
Golden State Water Company Artesia,Stage 2,Yes,Sep-14,486,523.8,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 53,318 ",72,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",2.7,AF,158363793.5,170680977.5,71.68,77.26,72%,No Correction Needed
Golden State Water Company Artesia,Stage 2,Yes,Oct-14,480.7,509.9,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 53,318 ",68,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    September 2014: Developed and distributed CPUC-mandated drought mail piece to all customers; provided mail piece to Customer Service Representatives in both English and Spanish to communicate with customers; added Water Waste Report Form to company website, providing customers with online option to report water waste in their communities; water-use efficiency information shared at local community events.    October 2014: Drafted localized opinion editorials for placement by Customer Service Area, highlighting communities‰Ûª water-use reductions, encouraging additional conservation and sharing the State Water Board‰Ûªs outdoor urban water regulations ; shared drought information, statewide conservation efforts and the State Water Board‰Ûªs outdoor urban water regulations through a featured article in the company‰Ûªs October e-Newsletter to customers; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",2.2,AF,156636781,166151642.6,68.14,72.28,72%,No Correction Needed
Golden State Water Company Barstow,Stage 2,Yes,Jun-14,662.9,734.6,AF,," 33,554 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,216006911,239370458.3,195.27,216.39,91%,No Correction Needed
Golden State Water Company Barstow,Stage 2,Yes,Jul-14,735,845.3,AF,," 33,554 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,239500798.8,275442211.2,209.53,240.97,91%,No Correction Needed
