Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,CALCULATED R-GPCD 2014 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),CALCULATED R-GPCD 2013 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections
Desert Water Agency,2,Yes,Jun-14,3581,3744,AF,"We had not invoked our Stage of our Water Shortage Contingency Plan by June, but we are in that Stage now."," 60,600 ",,,,,,1166873960,1219987743,436.4545065,456.3210479,68%,No Correction Needed
Desert Water Agency,Two,Yes,Jul-14,3882,3891,AF,," 60,600 ",,,,,,1264955240,1267887902,457.8779745,458.9395154,68%,No Correction Needed
Desert Water Agency,2,Yes,Aug-14,3489,3840,AF,," 60,600 ",,,,,,1136895629,1251269480,411.5240219,452.924117,68%,No Correction Needed
Desert Water Agency,2,Yes,Sep-14,3193,3570,AF,"Desert Water Agency's population is highly seasonal.  In addition to seasonal residents (""snowbirds"") there is a great deal of tourism.  DWA estimates our population to be approximately 115,000 when you include non-census water users.  With 115,000 residents, our GCPD is 204."," 62,028 ",378.45,,,,,1040443606,1163289594,378.5281494,423.2212632,68%,No Correction Needed
Diablo Water District,B,Yes,Jun-14,216.3,218.7,MG,Estimated residential use is based on Single and Multi Family Residential water use from Table 3-1 from the District's 2010 Urban Water Management Plan.," 35,646 ",,,,,,216300000,218700000,163.8360545,165.6539303,81%,No Correction Needed
Diablo Water District,B,Yes,Jul-14,216.8,240.5,MG,Estimated residential use is based on Single and Multi Family Residential water use from Table 3-1 from the District's 2010 Urban Water Management Plan.," 35,646 ",,,,,,216800000,240500000,158.9175277,176.2899696,81%,No Correction Needed
Diablo Water District,B,Yes,Aug-14,199.1,230.1,MG,Estimated residential use is based on Single and Multi Family Residential water use from Table 3-1 from the District's 2010 Urban Water Management Plan.," 35,646 ",,,,,,199100000,230100000,145.9431724,168.6666196,81%,No Correction Needed
Diablo Water District,B,Yes,Sep-14,181.9,203.1,MG,Estimated residential use is based on Single and Multi Family Residential water use from Table 3-1 from the District's 2010 Urban Water Management Plan.," 35,646 ",137.8,,,,,181900000,203100000,137.779835,153.8377378,81%,No Correction Needed
Dinuba  City of,2,Yes,Sep-14,160.78,175.17,MG,," 23,666 ",170.14,,,,,160780000,175170000,169.8428125,185.0439449,75%,No Correction Needed
Dinuba  City of,Two,Yes,Jun-14,127.3,146.5,MG,," 23,666 ",,,,,,127300000,146500000,120.131553,138.2503732,67%,No Correction Needed
Dinuba  City of,Two,Yes,Jul-14,190.94,222.83,MG,," 23,666 ",,,,,,190940000,222830000,156.1570567,182.237755,60%,No Correction Needed
Dinuba  City of,Stage 2,Yes,Aug-14,183.24,207.32,MG,," 21,453 ",,,,,,183240000,207320000,192.8717391,218.2174686,70%,No Correction Needed
Discovery Bay Community Services District,,Yes,Sep-14,107,130,MG,," 13,000 ",,,,,,107000000,130000000,164.6153846,200,60%,No Correction Needed
Discovery Bay Community Services District,,Yes,Aug-14,121,156,MG,"We are using various means to get the word out to reduce water where possible, along with placing door hangers on residents, where we see water flowing down the gutters, advising to reduce their water."," 13,000 ",,,we are continuing to educate residents about the drought.,,,121000000,156000000,270.2233251,348.3870968,90%,No Correction Needed
Discovery Bay Community Services District,,Yes,Jul-14,149,162,MG,," 13,000 ",,Door hangers to residents/ business users where we see excessive use.,we are using a portable trailer sign to educate residents that State Drought Regulations are now enforced,,,149000000,162000000,332.7543424,361.7866005,90%,No Correction Needed
Discovery Bay Community Services District,,Yes,Jun-14,135,145,MG,," 13,000 ",,,,,,135000000,145000000,311.5384615,334.6153846,90%,No Correction Needed
Downey  City of,Restrict Use,Yes,Jun-14,1601.1,1605.42,AF,," 110,829 ",,,,82.94,AF,521720719.8,523128397.9,117.2152228,117.5314864,75%,No Correction Needed
Downey  City of,Use Restriction,Yes,Jul-14,1599.61,1561.7,AF,," 111,363 ",,,,95.5,AF,521235201.1,508882173.5,113.2380509,110.5543627,75%,No Correction Needed
Downey  City of,Restrict Use,Yes,Aug-14,1386.54,1552.79,AF,," 110,829 ",,,,92.64,AF,451806037.6,505978837.3,98.23302626,110.0114392,75%,No Correction Needed
Downey  City of,Restricted Use,Yes,Sep-14,1508.16,1604.4,AF,," 111,931 ",102,,,103.41,AF,491436088.1,522796029.5,109.3241246,116.3004095,75%,No Correction Needed
Dublin San Ramon Services District,3,Yes,Jun-14,273.076,387.061,MG,," 77,374 ",,,,161.48,MG,273076000,387061000,94.11464661,133.3991608,80%,No Correction Needed
Dublin San Ramon Services District,3,Yes,Jul-14,274.032,412.275,MG,," 77,780 ",,,,164.658,MG,274032000,412275000,90.92046218,136.7877968,80%,No Correction Needed
Dublin San Ramon Services District,3,Yes,Aug-14,259.519,404.05,MG,," 78,262 ",,,,156.001,MG,259519000,404050000,85.57492162,133.233201,80%,No Correction Needed
Dublin San Ramon Services District,3,Yes,Sep-14,244.429,376.77,MG,," 78,485 ",77.6,,,2.97,MG,244429000,376770000,77.54707396,119.5333248,75%,No Correction Needed
East Bay Municipal Utilities District,Moderate,Yes,Jun-14,6365.4,7025.7,MG,"1Single Family Residential is 49 percent of total use; Multi-Family Residential is 20% of total use.  2.EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUD‰Ûªs service area on February 11, 2014; and through July 31, 2014 actual water production was 10.7 percent less in 2014 than for the same period in 2013."," 1,330,000 ",,"EBMUD‰Ûªs Board adopted Section 28 of the District‰Ûªs Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD‰Ûªs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state‰Ûªs emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",,,6365400000,7025700000,110.0783459,121.4970677,69%,No Correction Needed
East Bay Municipal Utilities District,Moderate,Yes,Jul-14,6590.1,7452.8,MG,"1Single Family Residential is 49 percent of total use; Multi-Family Residential is 20% of total use.  2.EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUD‰Ûªs service area on February 11, 2014; and through July 31, 2014 actual water production was 10.7 percent less in 2014 than for the same period in 2013."," 1,330,000 ",,"EBMUD‰Ûªs Board adopted Section 28 of the District‰Ûªs Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD‰Ûªs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state‰Ûªs emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",,,6590100000,7452800000,110.2878729,124.7254911,69%,No Correction Needed
East Bay Municipal Utilities District,Moderate,Yes,Aug-14,6222,7172.3,MG,"1Single Family Residential is 49 percent of total use; Multi-Family Residential is 20% of total use.  2.EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUD‰Ûªs service area on February 11, 2014; and through July 31, 2014 actual water production was 10.7 percent less in 2014 than for the same period in 2013."," 1,330,000 ",,"EBMUD‰Ûªs Board adopted Section 28 of the District‰Ûªs Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD‰Ûªs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state‰Ûªs emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",,,6222000000,7172300000,104.127577,120.0312151,69%,No Correction Needed
East Bay Municipal Utilities District,Moderate,Yes,Sep-14,5682.9,6537.2,MG,"For the PRU and R-GPCD, applied SWRCB‰Ûªs recommended methodology of using billing data for the volume of water provided to residential customers in September, 2013 as a percentage of Total Monthly Potable Production (TMPP) for September, 2013 and applying that ratio to TMPP of September, 2014 to get the approximate volume of residential water use for September, 2014. The population for 2014 was calculated using 2013 ABAG projections.    2.EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUD‰Ûªs service area on February 11, 2014; and through September 30, 2014 actual water production was 11.4 percent less in 2014 than for the same period in 2013.  "," 1,380,000 ",84,"EBMUD‰Ûªs Board adopted Section 28 of the District‰Ûªs Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD‰Ûªs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state‰Ûªs emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",,,5682900000,6537200000,83.73355072,96.3210628,61%,No Correction Needed
East Niles Community Service District,1,Yes,Jun-14,1122,1198,AF,," 26,000 ",,,,,,365605301.1,390370009.5,295.2965893,315.2988539,63%,No Correction Needed
East Niles Community Service District,1,Yes,Jul-14,1177,1285,AF,," 26,000 ",,,,,,383527129.6,418719083.7,299.77927,327.2866287,63%,No Correction Needed
East Niles Community Service District,1,Yes,Aug-14,1076,1217,AF,," 26,000 ",,,,,,350616135.5,396561186.7,282.7549479,319.8074086,65%,No Correction Needed
East Niles Community Service District,Stage 1,Yes,Sep-14,939,1056,AF,," 26,000 ",231,,,,,305974490,344099106.9,231.4422424,260.2800937,59%,No Correction Needed
East Orange County Water District,1,Yes,Jun-14,98.4,101.5,AF,"A majority of our water district is comprised of large residential lots (>10,000 sq. ft.) and is semi-rural in nature, with a small population.  We also have one restaurant, one elementary school, and one park within our service area."," 3,656 ",,"Fist instance of non-compliance - through personal contact, 1) issue a written warning, 2) provide a copy of conservation ordinance, 3) provide education such as reviewing behavior or water use inefficiency that caused the warning to be issued and suggest specific behavior and water use changes to correct it.  Second instance of non-compliance within preceding 12 month period - $50 fine.  Third instance of non-compliance  - $100 fine.  Fourth instance of non-compliance - $250 fine and referral to District Attorney's office for prosecution.  ","1) Direct mailing of an ""attention grabbing"" post card to each customer explaining the actions required by the SWRCB emergency regulations and directing customers to our website for detailed information.  2) Creation of a ""Drought Page"" on the EOCWD website that includes an explanation of the requirements of the emergency regulations, the action our Board took to implement a Level 1, 20% reduction, a graphic that depicts how to achieve a 20% reduction, a ""Bewaterwise"" video, and links to other informative websites.  3) Running a series of 4 monthly advertisements in the local newspaper to provide on-going monthly reminders to reduce water consumption.  4) Production of lawn signs that will be awarded to customers that meet the 20% reduction and /or exhibit enhanced water conservation behaviors (change out landscaping, drain fountains, etc.)  5) Include a message in the water bills advising customers of the 20% reduction in their water budget and directing them to the website for further information.  6) Adding a ""thumbs up"" or ""thumbs down"" symbol to the water bill showing that the customer either met their water budget or exceeded their water budget.  7) Creation of a District Facebook page that would initially be drought oriented but would also be used to provide updates on district operations including service outages, events, and items of general interest.  8) Creation of a Twitter Feed for the District's Webpage that would tweet daily drought reminders (supplied by MWDOC) automatically.",,,32063780.42,33073919.84,286.4925675,295.518248,98%,No Correction Needed
East Orange County Water District,1,Yes,Jul-14,102.5,105.2,AF,"A majority of our water district is comprised of large residential lots (>10,000 sq. ft.) and is semi-rural in nature, with a small population.  We also have one restaurant, one school, and one park within our service area."," 3,656 ",,"First instance of non-compliance - through personal contact, 1) issue a written warning, 2) provide a copy of the conservation ordinance, 3) provide education such as reviewing behavior and water use inefficiency that caused the warning to be issued and suggest specific behavior and water use changes to correct it.  Second instance of non-compliance within  preceding 12 month period - $50 fine.  Third instance of non-compliance - $100 fine.  Fourth instance of non-compliance - $250 fine and referral to District Attorney's office for prosecution.","1) Direct mailing of an ""attention grabbing"" post card to each customer explaining the actions required by the SWRCB emergency regulations and directing customers to our website for detailed information.  2) Creation of a ""Drought Page"" on the EOCWD website that includes an explanation of the requirements of the emergency regulations, the action our Board took to implement a Level 1, 20% reduction, a ""Bewaterwise"" video, and links to other informative websites.  3) Running a series of 4 monthly advertisements in the local newspaper to provide on-going monthly reminders to reduce water consumption.  4) Production of lawn signs that will be awarded to customers that meet the 20% reduction and / or exhibit enhanced water conservation behaviors (change out landscaping, drain foutains, etc.)  5) Include a message in the water bills advising customers of the 20% reduction in their water budget and directing them to the website for further information.    6) Adding a ""thumbs up"" or ""thumbs down"" symbol to the water bill showing that the customer either met their water budget or exceeded their water budget.  7) Creation of a District Facebook page that would initially be drought oriented but would also be used to provide updates on the district operations including service outages, events, and items of general interest.  8) Creation of a Twitter Feed for the District's Webpage that would tweet daily drought reminders (supplied by MWDOC) automatically.",,,33399771.27,34279570.12,288.8029915,296.4104849,98%,No Correction Needed
East Orange County Water District,1,Yes,Aug-14,96.6,107.8,AF,"A majority of our water district is comprised of large residential lots (>10,000 sq. ft.) and is semi-rural in nature, with a small population.   We also have one restaurant, one school, and one park within our service area."," 3,656 ",,"First instance of non-compliance - through personal contact, 1) issue a written warning. 2) provide a copy of conservation ordinance. 3) provide education such as reviewing behavior or water use inefficiency that caused the warning to be issued and suggest specific behavior and water use changes to correct it.  Second instance of non-compliance within preceding 12 month period - $50 fine.  Third instance of non-compliance - $100 fine.  Fourth instance of non-compliance - $250 fine and referral to District Attorney's office for prosecution.","1)Direct mailing of an ""attention grabbing"" post card to each customer explaining the actions required by the SWRCB emergency regulations and directing customers to our website for detailed information.  2)Creation of a ""Drought Page"" on the EOCWD website that includes an explanation of the requirements of the emergency regulations, the action our Board took to implement a Level 1, 20% reduction, a graphic that depicts how to achieve a 20% reduction, a ""Bewaterwise"" video, and links to other informative websites.  3) Running a series of 4 monthly advertisements in the local newspaper to provide on-going monthly reminders to reduce water consumption.  4) Production of lawn signs that will be awarded to customers that meet the 20% reduction and/or exhibit enhanced water conservation behaviors (change out landscaping, drain fountains, etc.).  5) Include a message in the water bills advising customers of the 20% reduction in their water budget and directing them to the website for further information.  6)Adding a ""thumbs up"" or ""thumbs down"" symbol to the water bill showing that the customer either met their water budget or exceeded their water budget.  7) Creation of a District Facebook page that would initially be drought oriented but would also be used to provide updates on district operations including service outages, events, and items of general interest.   8) Creation of a Twitter Feed for the District's webpage that would tweet daily drought reminders (supplied by MWDOC) automatically.",,,31477247.85,35126783.83,272.1792095,303.7362193,98%,No Correction Needed
East Orange County Water District,1,Yes,Sep-14,93.3,101.9,AF,"A majority of our water district is comprised of large residential lots (>10,000 sq. ft.) and is semi-rural in nature with a small population.  We also have one restaurant, one school, and one park within our service area."," 3,656 ",271.6,"First instance of non-compliance - through personal contact, 1) issue a written warning. 2) provide a copy of conservation ordinance. 3) provide education such as reviewing behavior or water use inefficiency that caused the warning to be issued and suggest specific behavior and water use changes to correct it. Second instance of non-compliance within preceding 12 month period - $50 fine. Third instance of non-compliance - $100 fine. Fourth instance of non-compliance - $250 fine and referral to District Attorney's office for prosecution.","1)Direct mailing of an ""attention grabbing"" post card to each customer explaining the actions required by the SWRCB emergency regulations and directing customers to our website for detailed  information. 2) Creation of a ""Drought Page"" on the EOCWD website that includes an explanation of the requirements of the emergency regulations, the action our Board took to implement a Level 1, 20% reduction, a graphic that depicts how to achieve a 20% reduction, a ""Bewaterwise"" video, and links to other informative websites. 3) Running a series of 4 monthly advertisements in the local newspaper to provide on-going monthly reminders to reduce water consumption. 4) Production of lawn signs that will be awarded to customers that meet the 20% reduction and/or exhibit enhanced water conservation behaviors (change out landscaping, drain fountains, etc.). 5) Include a message in the water bills advising customers of the 20% reduction in their water budget and directing them to the website for further information. 6) Adding a ""thumbs up"" or ""thumbs down"" symbol to the water bill showing that the customer either met their water budget or exceeded their water budget. 7) Creation of a District Facebook page that would initially be drought oriented but would also be used to provide updates on District operations including service outages, events, and items of general interest. 8) Creation of a Twitter Feed for the District's webpage that would tweet daily reminders (supplied by MWDOC) automatically.",,,30401938.14,33204260.41,271.6438674,296.682852,98%,No Correction Needed
"East Palo Alto, City of",10 % volunatary as suggested by SFPUC,No,Jun-14,76301,99119,CCF,East Palo Alto sells a small amount of water to Menlo Park. The monthly consumption from Menlo Park takes about two months to get reported.    We promote 10% voluntary water conservation as suggested by SFPUC and BAWSCA," 26,181 ",,"We distribute Water savings tips to all customers coming to our window for payment.  We also promote water conservation messages on our bi-monthly bills.  We investigate high bills, leaks etc when we notice.  When we notice wastage of water, we call and inform the customers not to do so.",,,,57077111.68,74146161.03,58.13591198,75.52159814,80%,No Correction Needed
"East Palo Alto, City of",10 % voluntary as suggested by SFPUC,No,Jul-14,77474,58037,CCF,Consumption of 455 CCF of Menlo Park is not included in July 2014 since it is not reported yet.  July 2013 does not include the 455 CCF Menlo Park has used.," 26,181 ",,Investigate leaks and High Bills  Print Water Conservation messages on the bills.  Distribute Water Savibng tips to customers at the window,,,,57954576.62,43414690.91,57.1254718,42.79359536,80%,No Correction Needed
"East Palo Alto, City of",10 % voluntary as suggested by SFPUC and BAWSCA,No,Aug-14,81154,24585,CCF,"In 2013, there appears to be some issues with the meters or the interconnections with Menlo Park.  The consumption data may not be accurate. Both Menlo Park and SFPUC were contacted regarding this low consumption, but no one came back.    Aug 2014 - Data from Menlo Park is not available yet."," 26,181 ",,Messages on Water bills to conserve at least 10%  Investigate leaks and high bills investigation  Distribute Water Saving tips to customers at the window.,,,,60707407.79,18390857.14,59.83892065,18.12775543,80%,No Correction Needed
"East Palo Alto, City of",10% Voluntary conservation per BAWSCA/SFPUC,No,Sep-14,71233,45807,CCF,No Meter read data received so far  from Menlo Park for their small usage. 73.21 is the % for R-GPCD calculation absed on billed data from ORCOM for Sept 2013. There were some water flow issues between Menlo Park and EPA water System during last September also.," 26,181 ",49.66,"Distribute Water Conservation tips  at the counter. Investigate and high bills and leaks and request customers to fix leak as soon as possible.  Shut off water supply and advise customers to repair,  in case any damaged sprinklers or large irrigation run offs ",,,,53285984.41,34266015.58,49.66791336,31.93938353,73%,No Correction Needed
East Valley Water District,Stage 1,No,Jun-14,2231.85,2502.65,AF,," 97,318 ",,,,,,727251507.3,815492073.8,191.8054422,215.0780249,77%,No Correction Needed
East Valley Water District,Stage 1,No,Jul-14,2274.38,2690.94,AF,"As of August 13, 2014 East Valley Water District has implemented mandatory measures. "," 97,318 ",,,,,,741109968.5,876846639,189.1552986,223.7996989,77%,No Correction Needed
East Valley Water District,Stage 2,Yes,Aug-14,1888.89,2501.29,AF,," 97,318 ",,"The District is enforcing the emergency regulations with door hangers, written notices to customers violating regulations, penalties, and if violation continues disconnection of water service. These are the enforcement actions in place at our district. ","The district is implementing the regulations through, home evaluations, conservation workshops, and rebate programs. These are some of the ways the regulations are being implemented. ",,,615497501.9,815048915.8,157.0949234,208.0269158,77%,No Correction Needed
East Valley Water District,Stage 2,Yes,Sep-14,1881.06,2263.9,AF,," 97,318 ",157,,,,,612946085.3,737695045.6,161.6585098,194.5598228,77%,No Correction Needed
Eastern Municipal Water District,Stage 2,Yes,Jun-14,9861,9518,AF,Percent of residential is based on sales data. Population is updated using 2010 Census.," 538,000 ",,"EMWD staff has been educating customers about the drought and the need to conserve water for several months.  Outreach efforts have included newsletter articles, e-mail messaging, and information on our website.  In July of 2014, increased focus on the drought throughout the region has prompted many customers to call in and report water waste.  EMWD is currently following up on 127 water waste violation notices.  EMWD has an active conservation incentive program that includes rebates on water saving devices and turf replacement, and direct install programs for both indoor and outdoor water saving devices, including high efficiency clothes washers, smart controllers and high efficiency nozzles.  EMWD also has a robust recycled water program.  In the first six months of 2014, EMWD sold over 19,000 AF of recycled water offsetting potable water demand.  This is 4,300 AF more than was sold in the first six months of 2013.  ","Although there is an increase in retail production shown in June and July of 2014 compared to 2013, many factors contribute to demand.  In fiscal 2013/14, EMWD added nearly 1,700 retail water connections.  At an average demand of 0.45 AFY per connection, we would expect to see an increase in demand of 765 AFY just from new development alone.  In addition, the average ET was 7.15 inches in June of 2013 and 7.79 inches in July of 2013 compared to 8.28 inches and 8.06 inches in June and July of 2014, a 3-15% increase.  Higher actual ET values means that plants need addition water to remain healthy.  Higher ET values also increase customer allocation under EMWD‰Ûªs tiered rate. Even with the additional customers and an increase in ET, EMWD only saw a 3.4% in in retail water production. ",,,3213220922,3101453882,141.3498671,136.4332253,71%,No Correction Needed
Eastern Municipal Water District,Stage 2,Yes,Jul-14,10452,10093,AF,Percent residential is based in sales data. The population is updated using the 2010 Census.," 538,000 ",,"  EMWD staff has been educating customers about the drought and the need to conserve water for several months.  Outreach efforts have included newsletter articles, e-mail messaging, and information on our website.  In July of 2014, increased focus on the drought throughout the region has prompted many customers to call in and report water waste.  EMWD is currently following up on 127 water waste violation notices.  EMWD has an active conservation incentive program that includes rebates on water saving devices and turf replacement, and direct install programs for both indoor and outdoor water saving devices, including high efficiency clothes washers, smart controllers and high efficiency nozzles.  EMWD also has a robust recycled water program.  In the first six months of 2014, EMWD sold over 19,000 AF of recycled water offsetting potable water demand.  This is 4,300 AF more than was sold in the first six months of 2013.    ","Although there is an increase in retail production shown in June and July of 2014 compared to 2013, many factors contribute to demand.  In fiscal 2013/14, EMWD added nearly 1,700 retail water connections.  At an average demand of 0.45 AFY per connection, we would expect to see an increase in demand of 765 AFY just from new development alone.  In addition, the average ET was 7.15 inches in June of 2013 and 7.79 inches in July of 2013 compared to 8.28 inches and 8.06 inches in June and July of 2014, a 3-15% increase.  Higher actual ET values means that plants need addition water to remain healthy.  Higher ET values also increase customer allocation under EMWD‰Ûªs tiered rate. Even with the additional customers and an increase in ET, EMWD only saw a 3.4% in in retail water production. ",,,3405799115,3288818453,144.9884502,140.0084603,71%,No Correction Needed
Eastern Municipal Water District,Stage 3a:  Mandatory Water Waste Reduction,Yes,Aug-14,8729,10013,AF,Month by month comparison do not reflect changes in weather or account for new connections added.  Monthly supply figures can also vary depending on when meters are read. ," 538,000 ",,EMWD relies on an allocation based tiered rate to discourage water waste and encourage efficiency.  Outdoor demand has decreased 30% since the allocation based rate structure was implemented. Allocation based tiered rates send a price signal to reduce outdoor watering when ET is lower.     EMWD also imposes fines for runoff.  Residential fines start at $25 and commercial start at $100.  Reports of runoff have increased as drought messaging and outreach continues.   ,"EMWD implemented Stage 3a on August 20, 2014.  Outreach has focused on eliminating water waste and reducing irrigation.  EMWD added a dedicated extension to report water waste.  Hundreds of complaints of water waste have been investigated this year.  Violators receive a warning letter and then fines for runoff. ",,,2844357106,3262750339,121.0872734,138.8987133,71%,No Correction Needed
Eastern Municipal Water District,Stage 3a:  Mandatory Water Waste Reduction,Yes,Sep-14,8647,9059,AF,Month by month comparison do not adequately reflect changes in weather or account for new connections added.  Population has been calculated using the State Water Board‰Ûªs suggested guidance. ," 530,337 ",126,EMWD relies on an allocation based tiered rate to discourage water waste and encourage efficiency.  Outdoor demand has decreased 30% since the allocation based rate structure was implemented. Allocation based tiered rates send a price signal to reduce outdoor watering when ET is lower. ET for September of 2014 was slightly lower than ET for September 2013; 6.23 inched verses 6.25.  Precipitation was 0.3 inches higher in September 2013.  EMWD also imposes fines for runoff.  Residential fines start at $25 and commercial start at $100.  Reports of runoff have increased as drought messaging and outreach continues.   ,"EMWD implemented Stage 3a on August 20, 2014.  Outreach has focused on eliminating water waste and reducing irrigation.  EMWD added a dedicated extension to report water waste.  Hundreds of complaints of water waste have been investigated this year.  Violators receive a warning letter and then fines for runoff.",,,2817637289,2951888077,125.7390725,131.7301096,71%,No Correction Needed
El Centro  City of,None,Yes,Jun-14,270304000,291321000,G,," 44,311 ",,,,,,270304000,291321000,152.5038929,164.3615581,75%,No Correction Needed
El Centro  City of,None,Yes,Jul-14,289390000,292870000,G,"We have adopted the state guidelines from the latest regulation.    Residential use does not include commercial, landscaping or industry."," 44,311 ",,No enforcement actions have been taken. The process is: 1. education  2. notification  3. minor fine  4. increasing fine  5. criminal prosecution,We are focusing on education efforts at this time.,,,289390000,292870000,126.404206,127.9242539,60%,No Correction Needed
El Centro  City of,None,Yes,Aug-14,246575000,275070000,G,"We have adopted the state guidelines from the latest regulation. Residential use does not include commercial, landscaping, or industry."," 44,311 ",,,,,,246575000,275070000,107.7028132,120.1492967,60%,No Correction Needed
El Centro  City of,None,Yes,Sep-14,236390000,228637000,G,Adopted state guidelines that were implemented in July 2014," 44,311 ",124,,,,,236390000,228637000,124.4784967,120.3959137,70%,No Correction Needed
El Dorado Irrigation District,2,Yes,Jun-14,3811,4815,AF,Monthly production includes estimated agricultural use of 29.42%. The estimated percentages for residential and agricultural use vary from month to month due to the District‰Ûªs bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 371 acre-feet of recycled water produced for uses that would otherwise require potable water.," 128,500 ",,,,,,1241819788,1568974621,119.7043407,151.2401995,37%,No Correction Needed
El Dorado Irrigation District,2,Yes,Jul-14,4291,5840,AF,Monthly production includes estimated agricultural use of 19.05%. The estimated percentages for residential and agricultural use vary from month to month due to the District‰Ûªs bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 415 acre-feet of recycled water produced for uses that would otherwise require potable water.," 128,500 ",,,,,,1398228473,1902972334,228.5042641,310.9915876,65%,No Correction Needed
El Dorado Irrigation District,2,Yes,Aug-14,4110,5480,AF,Monthly production includes estimated agricultural use of 47.4%. The estimated percentages for residential and agricultural use vary from month to month due to the District‰Ûªs bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 416 acre-feet of recycled water produced for uses that would otherwise require potable water.," 128,500 ",,,,,,1339249365,1785665820,77.99820577,103.9976077,23%,No Correction Needed
El Dorado Irrigation District,2,Yes,Sep-14,3435,4206,AF,Monthly production includes estimated agricultural use of 18.3%. The estimated percentages for residential and agricultural use vary from month to month due to the District‰Ûªs bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 328 acre-feet of recycled water produced for uses that would otherwise require potable water.," 128,500 ",193.1,,,,,1119299652,1370531102,193.0828193,236.4210591,67%,No Correction Needed
