Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
Hesperia Water District City of,2,Yes,Jun-14,1779,1760,AF,,90173,,,,," 579,689,689 "," 573,498,512 ",95%,No Correction Needed
Moulton Niguel Water District,0,Yes,Jun-14,2823.58,2825.51,AF,The ET range for June of 2014 was between 4.72 inches and 6.37 inches with an average of 5.75 inches.  The ET range for June of 2013 ranged between 3.88 inches and 5.84 inches with an average of 5.07 inches.  The significant increase in ET with subsequent flat demand indicates efficiency gains in outdoor irrigation.,168930,"The District is not implementing any enforcement but with a steep water budget rate structure, there is significant disincentive for water waste.",,994.3,AF," 920,067,572 "," 920,696,466 ",51%,No Correction Needed
"Tehachapi, City of","2, Municipal Code Regs",Yes,Jun-14,275.29,289.41,AF,,8923,,,,," 89,703,639 "," 94,304,661 ",57%,No Correction Needed
La Habra  City of Public Works,Stage 2,Yes,Jun-14,1098.06,959,AF,,63118,,,,," 357,804,418 "," 312,491,518 ",70%,No Correction Needed
Lake Arrowhead Community Services District,Level 1,Yes,Jun-14,180.94,213.19,AF,"Account query from billing, separating residential and commercial consumption.",12424,,,47.17,AF," 58,959,557 "," 69,468,266 ",95%,No Correction Needed
"City of Big Bear Lake, Dept of Water & Power",N/A - permanent water use regs in place,Yes,Jun-14,84.75,90.21,MG,"We have a small water system (Rimforest) that is going to be transferred to another water agency (Lake Arrowhead Community Services District) on October 1, 2014. We are the water supplier of the Rimforest system until September 30, 2014. Beginning October 1st, the Lake Arrowhead Community Services District will report on this water system. Our population will be decreased by 183 at that time as well as production. This month, the Rimforest system used 1.15 MG.",25755,see comments for July 2014 reporting,see comments for July 2014 reporting,,," 84,750,000 "," 90,210,000 ",71%,No Correction Needed
Cerritos  City of,Don't have one in place yet. See Note found below.,,Jun-14,824,838,AF,"Note:  On August 14, 2014 staff presented to the Cerritos City Council an Emergency Water Conservation Resolution.  At that time Council requested that staff make several changes.  Staff will again present to Council on August 28, 2014 the revised Emergency Water Conservation Resolution for their consideration.  ",49041,,,,," 268,501,576 "," 273,063,496 ",87%,No Correction Needed
Fresno  City of,2,Yes,Jun-14,4993415110,5679261080,G,Estimate based upon single- and multiple-family meter data.,503077,"1156 ""stop and advise"" by field patrols, investigated 85 customer water waste complaints, and 210 field inspections by customer request.",,,," 4,993,415,110 "," 5,679,261,080 ",52%,No Correction Needed
Hollister  City of,Stage 1,No,Jun-14,111864884,117127162,G,,23021,,,,," 111,864,884 "," 117,127,162 ",72%,No Correction Needed
Sunnyslope County Water District,Stage I,Yes,Jun-14,89098020,97750884,G,,19005,,,,," 89,098,020 "," 97,750,884 ",98%,No Correction Needed
Laguna Beach County Water District,Level 1,Yes,Jun-14,340.8,320.69,AF,"The District bills bi-monthly. Approximately 1/2 of the meters are billed one month, and other 1/2 the next.",19121,,,,," 111,050,166 "," 104,497,294 ",62%,No Correction Needed
California-American Water Company Los Angeles District,Voluntary Conservation,No,Jun-14,2165,2240,AF,,102889,,,,," 705,468,339 "," 729,907,196 ",62%,No Correction Needed
California-American Water Company San Diego District,Voluntary Conservation,No,Jun-14,1095,1147,AF,,95358,,,,," 356,807,313 "," 373,751,587 ",46%,No Correction Needed
California-American Water Ventura District,Voluntary Consevation,No,Jun-14,1707,1775,AF,,62144,,,,," 556,228,386 "," 578,386,283 ",63%,No Correction Needed
Stockton  City of,1,No,Jun-14,1102,1293,MG,,169963,,,,," 1,102,000,000 "," 1,293,000,000 ",71%,No Correction Needed
Lincoln Avenue Water Company,,Yes,Jun-14,249.5,234.1,AF,Beginning in February of 2014 we began an aggressive old water meter change-out program.  Since then we have seen an increase in sales.  We believe this is partially due to more accurate metering.,16126,,The Board of Directors adopted a moratorium on new water connections along with several water wasting prohibitions.  We currently have a water rate structure that promotes water conservation through a tier rate.  We have promoted water conservation and water wasting prohibitions through bill messages and direct mailer to our customers.,,AF," 81,299,931 "," 76,281,819 ",87%,No Correction Needed
Whittier  City of,N/A,No,Jun-14,944,690,AF,#2 Whittier has not activate the Water Shortage Contingency Plan at this time.  We have not met the trigger conditions in the approved UWMP; however we are pursuing implementation of the SWRCB emergency Regulations.  #5 We are reviewing the usage possibility of an interconnection left open without authorization.,48200,,,,," 307,603,747 "," 224,837,485 ",53%,No Correction Needed
"Kerman, City of",Stage 2,Yes,Jun-14,135439000,142866000,G,,13551,,,,," 135,439,000 "," 142,866,000 ",75%,No Correction Needed
La Palma  City of,Stage One,No,Jun-14,206.13,204.49,AF,,15544,,,,," 67,167,755 "," 66,633,358 ",100%,No Correction Needed
Santa Margarita Water District,Stage 2,Yes,Jun-14,2988.6,2962,AF,"Total Production = 3696.0 AF    Total Domestic Production = 2988.6 AF / 80.9% of SMWD usage    Total Recycled Production = 707.4 AF / 19.1% of SMWD usage    The total recycled production amount of 707.4 AF consists of the 557.6 AF of recycled water that SMWDâ€™s treatment plants produced in June 2014, as well as 149.8 AF of urban runoff and groundwater that is added to the non-domestic irrigation system to supplement the recycled water produced at the Districtâ€™s treatment plants.    The Board of Directors moved SMWD to Stage 2 of the Water Shortage Contingency Plan as of August 6, 2014. However, under Stage 1, SMWD was practicing voluntary conservation as well as year-round mandatory water waste restrictions.  ",155229,"In June 2014, 120 high use notifications were issued to customers, 58 customers requested site surveys, and the District worked with 126 customers where leaks were noticed.","SMWD has taken part in regional meetings with water agencies to discuss regional outreach and implementation of State and Local water restrictions.    SMWD offers free assistance to homeowners to review irrigation scheduling and performance.    SMWD offers numerous financial incentives (rebates) to homeowners, businesses, and dedicated irrigation customers to implement water efficient landscape and irrigation tools and materials.  More information at www.smwd.com     Additionally, the District website and social media presence has continually been educating customers about the drought as well as methods to reduce residential water usage.   ",557.6,AF," 973,839,575 "," 965,171,927 ",65%,No Correction Needed
Mesa Water District,Permanent Mandatory,Yes,Jun-14,1746.3,1741.7,AF,,108000,,"Mesa Waterâ€™s Turf Removal Rebate participation has increased from 1 per month in 2013, to 3 per month after the February 2014 drought declaration, to 7 per month in summer 2014.  â€¢ Promotion for the Turf Removal Rebate program will be distributed to every Mesa Water customer over the next two-month billing cycle  â€¢ Mesa Water will distribute a special drought edition newsletter to every Mesa Water customer over the next two-month billing cycle  â€¢ Mesa Water is hosting a special â€œMeet Mesa Water at the MWRFâ€ù for a tour and discussion about the drought in August 2014  â€¢ Mesa Water is scheduling additional landscape workshops this fall  â€¢ Mesa Water has a special drought message on its website with a link through to a list of indoor and outdoor conservation tips  â€¢ Mesa Water regularly posts drought messages on social media  â€¢",,," 569,034,347 "," 567,535,430 ",59%,No Correction Needed
California-American Water Company Monterey District,Stage 1,Yes,Jun-14,1032.15,1120.75,AF,"Total Monthly Potable Water Production reported in Question #5 is the Total Production from the following PWS ID numbers: CA2710004, CA2701466, CA2701882, CA2710022, CA2710021, CA2710006, CA2702004, CA2701202, and CA2701257, which are all within California American Water Companyâ€™s Monterey District.  The Monterey Main Water System (PWS ID number: CA2710004) began Stage 1 Water Conservation in 06/1995 in response to the SWRCB Order WR 95-10, to reduce pumping from the Carmel River.  CPUC Rule 14.1 Water Conservation, which restricts outdoor irrigation and other nonessential or unauthorized water use, will be implemented for all other Water Systems in California American Water Companyâ€™s Monterey District in August 2014.    California American Water has an extensive conservation plan which includes: residential and commercial audits, school education programs, a landscape grant program, a rain sensor and soil moisture sensor program, and a comprehensive outreach program.    ",109817,,,,," 336,327,550 "," 365,197,987 ",53%,No Correction Needed
Arroyo Grande  City of,stage 1,Yes,Jun-14,270.8,304.9,AF,,16901,,,,," 88,240,566 "," 99,352,100 ",80%,No Correction Needed
Suisun-Solano Water Authority,2,Yes,Jun-14,141,140.4,MG,"Based on service connections for single-family residential (8,122), multi-family residential (107), and landscape irrigation (122) from a total of 8,514 overall connections % residential is 8,351/8,514 X 100=98%",29868,,,,MG," 141,000,000 "," 140,400,000 ",98%,No Correction Needed
Davis  City of,2,No,Jun-14,416.25,465.91,MG,,68289,,,,," 416,250,000 "," 465,910,000 ",74%,DATA CORRECTION
Linda County Water District,n/a,No,Jun-14,145.22,148.2,MG,,12000,,,,," 145,220,000 "," 148,200,000 ",95%,DATA CORRECTION
Ceres  City of,Stage 1,Yes,Jun-14,305.982,280.282,MG,214.225 accounted for Single Family residents  27.468 accounted for Multi-Family residents  31.706 accounted for Irrigation  ----------  273.399  ,45719,"The City of Ceres has two full time employees that monitor and enforce the year around watering schedule. For the month of June 2014 these two employees handed out 162 courtesy notices, 83 warnings and 1 violation equaling $20.00 dollars in fines.",The City of Ceres adopted Resolution number 2014 - 27 to address the Cityâ€™s Drought Preparedness and water rationing Stages on the 14th of April 2014. The City of Ceres has also increased its community outreach and the further development of its water conservation program. The City of Ceres has also increased its low-flow toilet and high efficiency washing machine rebate program with year to date numbers equaling 74 toilets and 10 washing machine rebates granted. ,,," 305,982,000 "," 280,282,000 ",89%,No Correction Needed
Newport Beach  City of,Notice of Public Hearing Level 1,Yes,Jun-14,1600.53,1583.64,AF,,65551,,,,," 521,534,984 "," 516,031,354 ",55%,No Correction Needed
Ventura County Waterworks District No. 8,Level 1 Water Shortage,Yes,Jun-14,2156,2218,AF,,90086,,"In compliance with the State's emergency regulations, on July 21, 2014, Waterworks District No. 8 declared a Level 1 Water Supply Shortage with additional mandatory irrigation restrictions, effective August 1, 2014.",,," 702,535,677 "," 722,738,465 ",66%,No Correction Needed
Arcata  City of,none,No,Jun-14,63.007,51.77,MG,"Total population served data revised down from 19,546 (as reported in 2010 UWMP) because the City's UWMP was written for the City's water system (PWS#1210001) and the Jacoby Creek Water District (PWS#1210021), a retail customer of the City.  Water production data reported here does not include water supplied to the Jacoby Creek Water District and therefore that population is not included in the population data reported here.",17712,,"A resolution triggering the City's Water Shortage Contingency Plan and implementation of mandatory water use restrictions is scheduled to go before the City Council of Arcata on August 20, 2014.",,," 63,007,000 "," 51,770,000 ",27%,No Correction Needed
Crescent City  City of,2,Yes,Jun-14,86.67,65.7,MG,Allocations based on 2010 UWMP.,18199,,"Adopted Stage 2 Water Shortage Emergency by Board resolution on August 4, 2014.  The City of Crescent City has provided various resources on the City Website to support program implemention.",,," 86,670,000 "," 65,700,000 ",63%,No Correction Needed
Crestline Village Water District,1,No,Jun-14,30559.59,31481.33,CCF,,7338,,,,," 22,860,161 "," 23,549,670 ",81%,No Correction Needed
South Coast Water District,Level 1 - Water Supply Alert,Yes,Jun-14,651.8,635,AF,63% residential use (single-family & multi-family)  37% commercial & potable irrigation,34816,"The following will apply to customers that fail to comply with any provision of district Ordinance 206 for Permanent, Level 1 or Level 2 Conservation Measures:    â€¢  First Instance of Non-Compliance:  The district will issue a written warning and send it and a copy of the Ordinance by mail.    â€¢  Second Instance of Non-Compliance:  A second instance of non-compliance with the Ordinance within the preceding twelve calendar months is punishable by a non-compliance charge not to exceed $100.    â€¢  Third Instance of Non-Compliance:  A third instance of non-compliance with the Ordinance within the preceding twelve calendar months is punishable by a non-compliance charge not to exceed $250.    â€¢  Fourth and Subsequent Instances of Non-Compliance:  A fourth, or any subsequent instance of non-compliance with the Ordinance, is punishable by a non-compliance charge not to exceed $500.",,228.6,AF," 212,389,960 "," 206,915,656 ",63%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Jun-14,157803170.5,157254785,G,,13960,CPUC Resolution W-5000 Compliance  Bakman Tariff Rule 14.1,,,," 157,803,171 "," 157,254,785 ",94%,No Correction Needed
Orange  City of,N/A,,Jun-14,3001,2982.6,AF,Percentage Residential Use determined from FY 13-14 records of residential water sold,138792,,,,," 977,880,132 "," 971,884,466 ",65%,No Correction Needed
Fair Oaks Water District,Stage 3,Yes,Jun-14,1284,1495,AF,,36226,,,,," 418,393,232 "," 487,147,883 ",100%,No Correction Needed
Tustin  City of,Stage 2,Yes,Jun-14,1205,1208,AF,,67000,,,,," 392,650,970 "," 393,628,524 ",70%,No Correction Needed
Goleta Water District,1,No,Jun-14,1272,1339,AF,"Approximately 30% of the District's current water deliveries are for agricultural uses (4,334 AFY).  Of that, approximately 2,200 AFY is non-potable water provided for agricultural irrigation.",86946,,,,," 414,483,015 "," 436,315,061 ",40%,No Correction Needed
Adelanto city of,,No,Jun-14,140420360,142664000,G,,31765,,,,," 140,420,360 "," 142,664,000 ",64%,No Correction Needed
Seal Beach  City of,Phase 1,Yes,Jun-14,392,379,AF,"Leisure world is a gated community with 533 acres with 6608 dwelling units and a population of 8400. Water is feed  through meters  that serve irrigation and residential. Another big irrigation cousumption is the the U.S Naval Weapon Station that covers 5,000 acres of land. ",24168,"The City went to council on August 11, 2014 and implemented phase 1 for water conservation.",Same as above,,," 127,733,759 "," 123,497,691 ",44%,No Correction Needed
San Clemente  City of,Permanent mandatory ,Yes,Jun-14,1017,935,AF,"As of Aug 19th, we have entered into Stage 1 of our water shortage contingency plan.    Recycled Water plant has been shut down due to plant upgrades and expansion and expected to be back up and running in mid September. Previous year we produced 92 AF of RW which would have placed our June 2014 potable water below our 2013 potable water production if our plant were online. This year we have produced 0 AF of RW for this reporting period    Trend for the year 2014 was 20% above 2013 usage until March when we made a call for additional 20% voluntary conservation. We saw an immediate 20% reduction to normal or comparable levels to 2013 water consumption and production. Once we declare a level 1 shortage in August we expect to see further reductions that will show in September or October      ",55398,"Called for voluntary additional conservation of 20% in March of 2014    Permanent prohibited water waste is as follows:  Irrigating during periods of rain  Any non-rain runoff  Washing of paved surfaces  Washing of vehicles without a positive shutoff nozzle  Washing of buildings without a positive shutoff nozzle  Failure to fix leaks within 72 hours of notification.  Irrigation between the hours of 9:00am to 6:00pm   Due to our heavy clay soils, and steep slopes this is a more effective measure than days per week due to the needs of cycle and soak irrigation practices that can cross days to avoid irrigation during hottest parts of the day.    Sample irrigation schedule in order to cycle and soak would be:  Monday evening 3min -ON  Tuesday morning 3min -ON  Tuesday evening -OFF  Wednesday morning -OFF  Wednesday evening 3min-ON  Thursday morning 3min-ON  Thursday evening -OFF  Friday morning -OFF  Friday evening 3min-ON  Saturday morning 3min-ON  Saturday evening -OFF  Sunday morning -OFF  Sunday evning -OFF/ON    You can see that irrigation is on just about every day but is equivalent to 3 days or 4 days per week of irrigation due to the prohibited window of irrigation.","We have addressed utilities staff to be on alert for water waste and to report water waste and log complaints. On-call staff are now responding to customer side leaks, run-off and general water waste during off hours. Once a shortage has been declared by the city, all city staff will be responsible for observing water waste which is all compliant with SWRCB's restrictions.  ",,AF," 331,390,901 "," 304,671,084 ",78%,No Correction Needed
Azusa  City of,Phase 3,Yes,Jun-14,817438,859527,CCF,,110000,,,,," 611,486,088 "," 642,970,847 ",54%,No Correction Needed
Alhambra  City of,Stage II,Yes,Jun-14,1022.66,1032.22,AF,,85068,,,,," 333,235,220 "," 336,350,360 ",100%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 1,No,Jun-14,741379,799425,CCF,,62602,,,,CCF," 554,590,005 "," 598,011,429 ",100%,No Correction Needed
Thousand Oaks  City of,Permanent Conservation Measures,Yes,Jun-14,1199,1251,AF,,51609,,,,," 390,695,861 "," 407,640,135 ",60%,No Correction Needed
Beverly Hills  City of,Voluntary Stage B,No,Jun-14,1038.6,1077.4,AF,Monthly Production Calculated from Local Production and Metropolitan Water District (MWD) Purchases    Percentage of Residential Use Calculated from Billing Data,34000,Outdoor Water Schedule & Restrictions (unenforced)    Voluntary 20% Water Reduction,System Water Audits and Leak Detection Program    Prohibit Washing Down of Driveways and Sidewalks    Prohibit Excess Watering/Runoff    Use Shut-off Nozzle when Washing Vehicles    Prohibit Water Feature Unless Water is Recirculated    Smart Infrastructure â€“ AMI system    Partnership w/ MDW for In/Outdoor Rebate Programs    Landscape Irrigation Ordinance    Public Outreach and Education,,," 338,429,292 "," 351,072,327 ",100%,No Correction Needed
Golden State Water Company Cowan Heights,Stage 2,Yes,Jun-14,303.6,294,AF,,5390,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 98,928,493 "," 95,800,320 ",96%,No Correction Needed
Victorville Water District,Normal ,Yes,Jun-14,2524,2614,AF,,116497,,,,," 822,449,002 "," 851,775,630 ",75%,No Correction Needed
Pomona  City of,Permanent,Yes,Jun-14,2255.764,2203.28,AF,"The City only captures SFR and Mult-Res as a separate category; it is not possible to have actual consumption figures related to landscape irrigation or agriculture use. The residential use was calculated by obtaining the City's total monthly water consumption and determining what percentage of that figure was attributed to SFR and Mult-Res customers. As a note, the production figures listed include groundwater, surface water and imported water.",150942,,,,," 735,043,918 "," 717,941,932 ",67%,No Correction Needed
Walnut Valley Water District,Permanent water use restrictions,Yes,Jun-14,2015,2082,AF,,113236,,"At the August 18, 2014 meeting, the Board of Directors will consider implementing a Stage 1 Water Supply Shortage, which specifies certain mandatory water restrictions, as outlined in the Districts Water Supply Shortage Ordinance",302,," 656,590,625 "," 678,422,671 ",72%,No Correction Needed
California-American Water Company Sacramento District,Voluntary Conservation,No,Jun-14,3475,3639,AF,,201418,,,,," 1,132,333,709 "," 1,185,773,343 ",62%,No Correction Needed
Carlsbad Municipal Water District,1,No,Jun-14,1828,1845,AF,Water Use Breakdown:  AG = 0.096  C = 5.74  IR = 3.0,84838,,,462,AF," 595,656,409 "," 601,195,883 ",86%,No Correction Needed
Golden State Water Company Placentia,Stage 2,Yes,Jun-14,753.9,731.1,AF,,50201,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 245,659,391 "," 238,229,978 ",93%,No Correction Needed
Huntington Park  City of,Phase 3,Yes,Jun-14,411,423,AF,,21740,,,,," 133,924,936 "," 137,835,154 ",100%,No Correction Needed
Helix Water District,Level 2 Drought Alert,Yes,Jun-14,3288.7,3321.5,AF,"Water production numbers are available within a few days of month end; usage numbers are available approximately two months later due to rolling two-month meter reading cycles. The estimated percentage of water going to residential use included in the June report will be based on water used during the months of April - June, depending on when each meter was read.",267922,,"Helix Water District's customers have reduced water use by 21% between 2007 and 2013. A Level 1 Drought Watch was declared in February, calling for voluntary conservation measures. A Level 2 Drought Alert calling for mandatory restrictions went into effect in August.",,," 1,071,627,588 "," 1,082,315,515 ",46%,No Correction Needed
Manhattan Beach  City of,Permanent Measures,Yes,Jun-14,502,507,AF,,35135,,,,," 163,577,416 "," 165,206,673 ",78%,No Correction Needed
Lakeside Water District,2,Yes,Jun-14,420.05,449.98,AF,,33657,,,,," 136,873,892 "," 146,626,625 ",85%,No Correction Needed
Carpinteria Valley Water District,Stage I (modified),Yes,Jun-14,452.47,440.12,AF,% estimate derived from metered sales to residential customers only,14616,,,,," 147,437,995 "," 143,413,730 ",32%,No Correction Needed
Lakewood  City of,Phase 2,Yes,Jun-14,785.9,780.71,AF,"Total Population for Lakewood= 80,048  City of Lakewood Service Area= 59,081  Golden State Water Co.= 20,967",59081,,,65.4,AF," 256,086,636 "," 254,395,468 ",74%,No Correction Needed
Las Virgenes Municipal Water District,Stage 3 - Water Shortage Emergency,Yes,Jun-14,2423.2,2327.1,AF,Percentage Residential Use taken from  2013 Large Water System Annual Report to the Drinking Water Program. Percentage was calculated using columns B through F (excludes recycled water sales and fire flow uses).,75384,"1. On August 12th, the Board approved restricting outdoor irrigation to three days a week in response to the emergency regulations and statewide drought.  2. The restriction is effective immediately. Customers will be given time to make adjustments to their irrigation controllers. Enforcement begins September 1st.  3. Properties with even-numbered addresses may irrigate Mondays, Wednesdays and Fridays.  4. Properties with odd-numbered addresses may irrigate Tuesdays, Thursdays and Saturdays.  5. Restrictions apply to both potable and recycled water users.  6. Recycled water customers only: Recycled water customers may be on a different irrigation schedule upon demonstration, through a site visit, that they are using water efficiently and achieving the same result as the watering restriction. These customers may contact the District to request a site visit.  7. Watering is permitted at any time using a hose with an automatic shut-off nozzle, a bucket or a drip irrigation system.  8. The following conservation measures are in effect:  a. Potable water shall not be used to clean or sweep hard surfaces such as sidewalks, walkways, driveways or parking areas and only as necessary to protect public health and safety.  b. Hotels, motels and other places for commercial transient occupancy shall offer guests who stay more than one night the opportunity to retain towels and linens during their stay.   c. Car washing is permitted only with the use of a nozzle having an automatic shut-off.  d. Fountains and other decorative water features shall recirculate water.  e. Irrigation shall occur after 5:00 p.m. and before 10:00 a.m.  No irrigation is permitted during rainfall and for 24 hours after rainfall in excess of 1 inch.  f. Irrigation shall not run off to streets, gutters or adjacent properties.    9. Violation of outdoor irrigation restriction and conservation measures are subject to fines: Warning letter for the 1st time, then within a twelve-month period, $100 for the 2nd time, $200 for the 3rd time and $500 for the 4th time. For the 5th time, flow restrictors may be installed or service may be terminated.  ",Included in #9 above.,,," 789,603,178 "," 758,288,856 ",85%,No Correction Needed
Chino Hills  City of,Stage II,Yes,Jun-14,653724,680828,CCF,"The remaining 30% is  non-residential, government, fire line, and dedicated landscape.",74738,,,115919,CCF," 489,019,512 "," 509,294,712 ",70%,No Correction Needed
Lodi  City of Public Works Department,1,Yes,Jun-14,686.3,611.8,MG,"Water and Wastewater Rate Update Study, The Reed Group, Inc., 2012",62930,,,,," 686,300,000 "," 611,800,000 ",94%,No Correction Needed
Golden State Water Company S Arcadia,Stage 2,Yes,Jun-14,360.9,362.2,AF,,29511,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 117,599,780 "," 118,023,387 ",96%,No Correction Needed
Lomita  City of,Advisory,No,Jun-14,213.08,225.48,AF,,20300,,,,," 69,432,422 "," 73,472,980 ",90%,No Correction Needed
Golden State Water Company San Dimas,Stage 2,Yes,Jun-14,1289.8,1294.9,AF,,54497,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 420,283,171 "," 421,945,013 ",93%,No Correction Needed
Monrovia  City of,Phase I,Yes,Jun-14,251,250,MG,,38932,1 item was investigated during the month of June regarding over watering.,Ordinance had not been put into place during the month of June.,,," 251,000,000 "," 250,000,000 ",74%,No Correction Needed
North Coast County Water District,2,Yes,Jun-14,136481,130530,CCF,Although we sold less water in 2014 than in 2014 the purchase water was slightly higher for the same period.,39000,A written notice is being mailed to anyone violating the new Stage 2 Ordinance and a door tag is being placed on a 2nd violation. Water termination and fines can be implemented for 3 or more  violations.,"We are doing a massive public outreach campaign and notifying all customers of the new Stage 2 regulations that went into effect July 1, 2014.We are now limiting irrigation to the hours of 10-6 and 3 days watering per week maximum. Restaurants must only serve water upon request and District vehicles, etc.. have water saving messages on the doors.",1001,CCF," 102,094,878 "," 97,643,221 ",80%,No Correction Needed
North Tahoe Public Utility District,1,No,Jun-14,49.072,50.872,MG,Using our meter read for June 2014 9.685 MG was commercial. None for agriculture.,7500,,,,," 49,072,000 "," 50,872,000 ",80%,No Correction Needed
San Dieguito Water District,Drought Response Level 2,Yes,Jun-14,723.3,620.2,AF,,36959,,,84,AF," 235,688,337 "," 202,093,055 ",73%,No Correction Needed
