Suisun-Solano Water Authority,Suisun-Solano Water Authority,Suisun-Solano Water Authority,Suisun-Solano  Authority,Suisun-Solano  Authority,Suisun-Solano  Authority
Davis  City of,Davis  City of,Davis  ,Davis  ,Davis  ,Davis  
Linda County Water District,Linda County Water ,Linda County Water ,Linda County  ,Linda County  ,Linda County  
Ceres  City of,Ceres  City of,Ceres  ,Ceres  ,Ceres  ,Ceres  
Newport Beach  City of,Newport Beach  City of,Newport Beach  ,Newport Beach  ,Newport Beach  ,Newport Beach  
Ventura County Waterworks District No. 8,Ventura County Waterworks  No. 8,Ventura County Waterworks  No. 8,Ventura County works  No. 8,Ventura County works  No. 8,Ventura County works  No. 8
Arcata  City of,Arcata  City of,Arcata  ,Arcata  ,Arcata  ,Arcata  
Crescent City  City of,Crescent City  City of,Crescent City  ,Crescent City  ,Crescent City  ,Crescent City  
Crestline Village Water District,Crestline Village Water ,Crestline Village Water ,Crestline Village  ,Crestline Village  ,Crestline Village  
South Coast Water District,South Coast Water ,South Coast Water ,South Coast  ,South Coast  ,South Coast  
Bakman Water Company,Bakman Water Company,Bakman Water Company,Bakman  Company,Bakman  Company,Bakman  Company
Orange  City of,Orange  City of,Orange  ,Orange  ,Orange  ,Orange  
Fair Oaks Water District,Fair Oaks Water ,Fair Oaks Water ,Fair Oaks  ,Fair Oaks  ,Fair Oaks  
Tustin  City of,Tustin  City of,Tustin  ,Tustin  ,Tustin  ,Tustin  
Goleta Water District,Goleta Water ,Goleta Water ,Goleta  ,Goleta  ,Goleta  
Adelanto City of,Adelanto City of,Adelanto ,Adelanto ,Adelanto ,Adelanto 
Seal Beach  City of,Seal Beach  City of,Seal Beach  ,Seal Beach  ,Seal Beach  ,Seal Beach  
San Clemente  City of,San Clemente  City of,San Clemente  ,San Clemente  ,San Clemente  ,San Clemente  
Azusa  City of,Azusa  City of,Azusa  ,Azusa  ,Azusa  ,Azusa  
Alhambra  City of,Alhambra  City of,Alhambra  ,Alhambra  ,Alhambra  ,Alhambra  
Apple Valley Ranchos Water Company,Apple Valley Ranchos Water Company,Apple Valley Ranchos Water Company,Apple Valley Ranchos  Company,Apple Valley Ranchos  Company,Apple Valley Ranchos  Company
Thousand Oaks  City of,Thousand Oaks  City of,Thousand Oaks  ,Thousand Oaks  ,Thousand Oaks  ,Thousand Oaks  
Beverly Hills  City of,Beverly Hills  City of,Beverly Hills  ,Beverly Hills  ,Beverly Hills  ,Beverly Hills  
Golden State Water Company Cowan Heights,Golden State Water Company Cowan Heights,Golden State Water Company Cowan Heights,Golden State  Company Cowan Heights,Golden State  Company Cowan Heights,Golden State  Company Cowan Heights
Victorville Water District,Victorville Water ,Victorville Water ,Victorville  ,Victorville  ,Victorville  
Pomona  City of,Pomona  City of,Pomona  ,Pomona  ,Pomona  ,Pomona  
Walnut Valley Water District,Walnut Valley Water ,Walnut Valley Water ,Walnut Valley  ,Walnut Valley  ,Walnut Valley  
California-American Water Company Sacramento District,California-American Water Company Sacramento ,California-American Water Company Sacramento ,California-American  Company Sacramento ,California-American  Company Sacramento ,California-American  Company Sacramento 
Ventura County Waterworks District No 1,Ventura County Waterworks  No 1,Ventura County Waterworks  No 1,Ventura County works  No 1,Ventura County works  No 1,Ventura County works  No 1
Great Oaks Water Company Incorporated,Great Oaks Water Company Incorporated,Great Oaks Water Company Incorporated,Great Oaks  Company Incorporated,Great Oaks  Company Incorporated,Great Oaks  Company Incorporated
Carlsbad Municipal Water District,Carlsbad Municipal Water ,Carlsbad Municipal Water ,Carlsbad Municipal  ,Carlsbad Municipal  ,Carlsbad Municipal  
Golden State Water Company Placentia,Golden State Water Company Placentia,Golden State Water Company Placentia,Golden State  Company Placentia,Golden State  Company Placentia,Golden State  Company Placentia
Huntington Park  City of,Huntington Park  City of,Huntington Park  ,Huntington Park  ,Huntington Park  ,Huntington Park  
Helix Water District,Helix Water ,Helix Water ,Helix  ,Helix  ,Helix  
Manhattan Beach  City of,Manhattan Beach  City of,Manhattan Beach  ,Manhattan Beach  ,Manhattan Beach  ,Manhattan Beach  
Lakeside Water District,Lakeside Water ,Lakeside Water ,Lakeside  ,Lakeside  ,Lakeside  
Carpinteria Valley Water District,Carpinteria Valley Water ,Carpinteria Valley Water ,Carpinteria Valley  ,Carpinteria Valley  ,Carpinteria Valley  
Lakewood  City of,Lakewood  City of,Lakewood  ,Lakewood  ,Lakewood  ,Lakewood  
Lynwood  City of,Lynwood  City of,Lynwood  ,Lynwood  ,Lynwood  ,Lynwood  
Las Virgenes Municipal Water District,Las Virgenes Municipal Water ,Las Virgenes Municipal Water ,Las Virgenes Municipal  ,Las Virgenes Municipal  ,Las Virgenes Municipal  
Chino Hills  City of,Chino Hills  City of,Chino Hills  ,Chino Hills  ,Chino Hills  ,Chino Hills  
Lodi  City of Public Works Department,Lodi  City of Public Works Department,Lodi   Public Works Department,Lodi   Public Works Department,Lodi   Public Works Department,Lodi   Public Works Department
Golden State Water Company S Arcadia,Golden State Water Company S Arcadia,Golden State Water Company S Arcadia,Golden State  Company S Arcadia,Golden State  Company S Arcadia,Golden State  Company S Arcadia
Lomita  City of,Lomita  City of,Lomita  ,Lomita  ,Lomita  ,Lomita  
Golden State Water Company San Dimas,Golden State Water Company San Dimas,Golden State Water Company San Dimas,Golden State  Company San Dimas,Golden State  Company San Dimas,Golden State  Company San Dimas
Ramona Municipal Water District,Ramona Municipal Water ,Ramona Municipal Water ,Ramona Municipal  ,Ramona Municipal  ,Ramona Municipal  
Monrovia  City of,Monrovia  City of,Monrovia  ,Monrovia  ,Monrovia  ,Monrovia  
North Coast County Water District,North Coast County Water ,North Coast County Water ,North Coast County  ,North Coast County  ,North Coast County  
North Tahoe Public Utility District,North Tahoe Public Utility ,North Tahoe Public Utility ,North Tahoe Public Utility ,North Tahoe Public Utility ,North Tahoe Public Utility 
San Dieguito Water District,San Dieguito Water ,San Dieguito Water ,San Dieguito  ,San Dieguito  ,San Dieguito  
Palmdale Water District,Palmdale Water ,Palmdale Water ,Palmdale  ,Palmdale  ,Palmdale  
Olivehurst Public Utility District,Olivehurst Public Utility ,Olivehurst Public Utility ,Olivehurst Public Utility ,Olivehurst Public Utility ,Olivehurst Public Utility 
Twentynine Palms Water District,Twentynine Palms Water ,Twentynine Palms Water ,Twentynine Palms  ,Twentynine Palms  ,Twentynine Palms  
Orchard Dale Water District,Orchard Dale Water ,Orchard Dale Water ,Orchard Dale  ,Orchard Dale  ,Orchard Dale  
Phelan Pinon Hills Community Services District,Phelan Pinon Hills Community Services ,Phelan Pinon Hills Community Services ,Phelan Pinon Hills Community Services ,Phelan Pinon Hills Community Services ,Phelan Pinon Hills  Services 
"Yreka, City of","Yreka, City of","Yreka, ","Yreka, ",Yreka ,Yreka 
Rubidoux Community Service District,Rubidoux Community Service ,Rubidoux Community Service ,Rubidoux Community Service ,Rubidoux Community Service ,Rubidoux  Service 
Quartz Hill Water District,Quartz Hill Water ,Quartz Hill Water ,Quartz Hill  ,Quartz Hill  ,Quartz Hill  
Pico Rivera  City of,Pico Rivera  City of,Pico Rivera  ,Pico Rivera  ,Pico Rivera  ,Pico Rivera  
Rincon Del Diablo Municipal Water District,Rincon Del Diablo Municipal Water ,Rincon Del Diablo Municipal Water ,Rincon Del Diablo Municipal  ,Rincon Del Diablo Municipal  ,Rincon Del Diablo Municipal  
San Fernando  City of,San Fernando  City of,San Fernando  ,San Fernando  ,San Fernando  ,San Fernando  
Riverside Highland Water Company,Riverside Highland Water Company,Riverside Highland Water Company,Riverside Highland  Company,Riverside Highland  Company,Riverside Highland  Company
Rubio Canyon Land and Water Association,Rubio Canyon Land and Water Association,Rubio Canyon Land and Water Association,Rubio Canyon Land and  Association,Rubio Canyon Land and  Association,Rubio Canyon Land and  Association
Santa Fe Springs  City of,Santa Fe Springs  City of,Santa Fe Springs  ,Santa Fe Springs  ,Santa Fe Springs  ,Santa Fe Springs  
San Bernardino County Service Area 64,San Bernardino County Service Area 64,San Bernardino County Service Area 64,San Bernardino County Service Area 64,San Bernardino County Service Area 64,San Bernardino County Service Area 64
Valley County Water District,Valley County Water ,Valley County Water ,Valley County  ,Valley County  ,Valley County  
San Jacinto  City of,San Jacinto  City of,San Jacinto  ,San Jacinto  ,San Jacinto  ,San Jacinto  
San Gabriel County Water District,San Gabriel County Water ,San Gabriel County Water ,San Gabriel County  ,San Gabriel County  ,San Gabriel County  
Santa Ana  City of,Santa Ana  City of,Santa Ana  ,Santa Ana  ,Santa Ana  ,Santa Ana  
San Juan Capistrano  City of,San Juan Capistrano  City of,San Juan Capistrano  ,San Juan Capistrano  ,San Juan Capistrano  ,San Juan Capistrano  
Serrano Water District,Serrano Water ,Serrano Water ,Serrano  ,Serrano  ,Serrano  
Sunny Slope Water Company,Sunny Slope Water Company,Sunny Slope Water Company,Sunny Slope  Company,Sunny Slope  Company,Sunny Slope  Company
Sonoma  City of,Sonoma  City of,Sonoma  ,Sonoma  ,Sonoma  ,Sonoma  
Sweetwater Authority,Sweetwater Authority,Sweetwater Authority,Sweetwater Authority,Sweetwater Authority,Sweetwater Authority
Suburban Water Systems San Jose Hills,Suburban Water Systems San Jose Hills,Suburban Water Systems San Jose Hills,Suburban  Systems San Jose Hills,Suburban  Systems San Jose Hills,Suburban  Systems San Jose Hills
Ukiah  City of,Ukiah  City of,Ukiah  ,Ukiah  ,Ukiah  ,Ukiah  
Arcadia  City of,Arcadia  City of,Arcadia  ,Arcadia  ,Arcadia  ,Arcadia  
Suburban Water Systems Whittier/La Mirada,Suburban Water Systems Whittier/La Mirada,Suburban Water Systems Whittier/La Mirada,Suburban  Systems Whittier/La Mirada,Suburban  Systems Whittier/La Mirada,Suburban  Systems Whittier/La Mirada
Golden State Water Company Artesia,Golden State Water Company Artesia,Golden State Water Company Artesia,Golden State  Company Artesia,Golden State  Company Artesia,Golden State  Company Artesia
Golden State Water Company Claremont,Golden State Water Company Claremont,Golden State Water Company Claremont,Golden State  Company Claremont,Golden State  Company Claremont,Golden State  Company Claremont
Golden State Water Company Bell-Bell Gardens,Golden State Water Company Bell-Bell Gardens,Golden State Water Company Bell-Bell Gardens,Golden State  Company Bell-Bell Gardens,Golden State  Company Bell-Bell Gardens,Golden State  Company Bell-Bell Gardens
Golden State Water Company Florence Graham,Golden State Water Company Florence Graham,Golden State Water Company Florence Graham,Golden State  Company Florence Graham,Golden State  Company Florence Graham,Golden State  Company Florence Graham
Golden State Water Company Barstow,Golden State Water Company Barstow,Golden State Water Company Barstow,Golden State  Company Barstow,Golden State  Company Barstow,Golden State  Company Barstow
Golden State Water Company Norwalk,Golden State Water Company Norwalk,Golden State Water Company Norwalk,Golden State  Company Norwalk,Golden State  Company Norwalk,Golden State  Company Norwalk
Upland  City of,Upland  City of,Upland  ,Upland  ,Upland  ,Upland  
Golden State Water Company Simi Valley,Golden State Water Company Simi Valley,Golden State Water Company Simi Valley,Golden State  Company Simi Valley,Golden State  Company Simi Valley,Golden State  Company Simi Valley
Golden State Water Company Southwest,Golden State Water Company Southwest,Golden State Water Company Southwest,Golden State  Company Southwest,Golden State  Company Southwest,Golden State  Company Southwest
Golden State Water Company West Orange,Golden State Water Company West Orange,Golden State Water Company West Orange,Golden State  Company West Orange,Golden State  Company West Orange,Golden State  Company West Orange
Grover Beach  City of,Grover Beach  City of,Grover Beach  ,Grover Beach  ,Grover Beach  ,Grover Beach  
Coachella  City of,Coachella  City of,Coachella  ,Coachella  ,Coachella  ,Coachella  
Compton  City of,Compton  City of,Compton  ,Compton  ,Compton  ,Compton  
Valley Water Company,Valley Water Company,Valley Water Company,Valley  Company,Valley  Company,Valley  Company
Cucamonga Valley Water District,Cucamonga Valley Water ,Cucamonga Valley Water ,Cucamonga Valley  ,Cucamonga Valley  ,Cucamonga Valley  
Desert Water Agency,Desert Water Agency,Desert Water Agency,Desert  Agency,Desert  Agency,Desert  Agency
La Verne  City of,La Verne  City of,La Verne  ,La Verne  ,La Verne  ,La Verne  
Fullerton  City of,Fullerton  City of,Fullerton  ,Fullerton  ,Fullerton  ,Fullerton  
Sierra Madre  City of,Sierra Madre  City of,Sierra Madre  ,Sierra Madre  ,Sierra Madre  ,Sierra Madre  
Georgetown Divide Public Utilities District,Georgetown Divide Public Utilities ,Georgetown Divide Public Utilities ,Georgetown Divide Public Utilities ,Georgetown Divide Public Utilities ,Georgetown Divide Public Utilities 
Norwalk City of,Norwalk City of,Norwalk ,Norwalk ,Norwalk ,Norwalk 
Glendora  City of,Glendora  City of,Glendora  ,Glendora  ,Glendora  ,Glendora  
Santa Fe Irrigation District,Santa Fe Irrigation ,Santa Fe Irrigation ,Santa Fe Irrigation ,Santa Fe Irrigation ,Santa Fe Irrigation 
Rosamond Community Service District,Rosamond Community Service ,Rosamond Community Service ,Rosamond Community Service ,Rosamond Community Service ,Rosamond  Service 
Park Water Company,Park Water Company,Park Water Company,Park  Company,Park  Company,Park  Company
Rio Linda - Elverta Community Water District,Rio Linda - Elverta Community Water ,Rio Linda - Elverta Community Water ,Rio Linda - Elverta Community  ,Rio Linda - Elverta Community  ,Rio Linda - Elverta   
Padre Dam Municipal Water District,Padre Dam Municipal Water ,Padre Dam Municipal Water ,Padre Dam Municipal  ,Padre Dam Municipal  ,Padre Dam Municipal  
Millbrae  City of,Millbrae  City of,Millbrae  ,Millbrae  ,Millbrae  ,Millbrae  
Groveland Community Services District,Groveland Community Services ,Groveland Community Services ,Groveland Community Services ,Groveland Community Services ,Groveland  Services 
Paramount  City of,Paramount  City of,Paramount  ,Paramount  ,Paramount  ,Paramount  
Pasadena  City of,Pasadena  City of,Pasadena  ,Pasadena  ,Pasadena  ,Pasadena  
Vernon  City of,Vernon  City of,Vernon  ,Vernon  ,Vernon  ,Vernon  
Pico Water District,Pico Water ,Pico Water ,Pico  ,Pico  ,Pico  
Palo Alto  City of,Palo Alto  City of,Palo Alto  ,Palo Alto  ,Palo Alto  ,Palo Alto  
Rialto  City of,Rialto  City of,Rialto  ,Rialto  ,Rialto  ,Rialto  
Santa Paula  City of,Santa Paula  City of,Santa Paula  ,Santa Paula  ,Santa Paula  ,Santa Paula  
South Pasadena  City of,South Pasadena  City of,South Pasadena  ,South Pasadena  ,South Pasadena  ,South Pasadena  
Torrance  City of,Torrance  City of,Torrance  ,Torrance  ,Torrance  ,Torrance  
West Sacramento  City of,West Sacramento  City of,West Sacramento  ,West Sacramento  ,West Sacramento  ,West Sacramento  
Fallbrook Public Utility District,Fallbrook Public Utility ,Fallbrook Public Utility ,Fallbrook Public Utility ,Fallbrook Public Utility ,Fallbrook Public Utility 
Morgan Hill  City of,Morgan Hill  City of,Morgan Hill  ,Morgan Hill  ,Morgan Hill  ,Morgan Hill  
Valley Center Municipal Water District,Valley Center Municipal Water ,Valley Center Municipal Water ,Valley Center Municipal  ,Valley Center Municipal  ,Valley Center Municipal  
Beaumont-Cherry Valley Water District,Beaumont-Cherry Valley Water ,Beaumont-Cherry Valley Water ,Beaumont-Cherry Valley  ,Beaumont-Cherry Valley  ,Beaumont-Cherry Valley  
Redwood City  City of,Redwood City  City of,Redwood City  ,Redwood City  ,Redwood City  ,Redwood City  
Lemoore  City of,Lemoore  City of,Lemoore  ,Lemoore  ,Lemoore  ,Lemoore  
Reedley  City of,Reedley  City of,Reedley  ,Reedley  ,Reedley  ,Reedley  
Golden State Water Company Cordova,Golden State Water Company Cordova,Golden State Water Company Cordova,Golden State  Company Cordova,Golden State  Company Cordova,Golden State  Company Cordova
Golden State Water Company Bay Point,Golden State Water Company Bay Point,Golden State Water Company Bay Point,Golden State  Company Bay Point,Golden State  Company Bay Point,Golden State  Company Bay Point
Glendale  City of,Glendale  City of,Glendale  ,Glendale  ,Glendale  ,Glendale  
Fruitridge Vista Water Company,Fruitridge Vista Water Company,Fruitridge Vista Water Company,Fruitridge Vista  Company,Fruitridge Vista  Company,Fruitridge Vista  Company
Golden State Water Company Culver City,Golden State Water Company Culver City,Golden State Water Company Culver City,Golden State  Company Culver City,Golden State  Company Culver City,Golden State  Company Culver City
Golden State Water Company S San Gabriel,Golden State Water Company S San Gabriel,Golden State Water Company S San Gabriel,Golden State  Company S San Gabriel,Golden State  Company S San Gabriel,Golden State  Company S San Gabriel
Galt  City of,Galt  City of,Galt  ,Galt  ,Galt  ,Galt  
Golden State Water Company Orcutt,Golden State Water Company Orcutt,Golden State Water Company Orcutt,Golden State  Company Orcutt,Golden State  Company Orcutt,Golden State  Company Orcutt
Inglewood  City of,Inglewood  City of,Inglewood  ,Inglewood  ,Inglewood  ,Inglewood  
Susanville  City of,Susanville  City of,Susanville  ,Susanville  ,Susanville  ,Susanville  
South Feather Water and Power Agency,South Feather Water and Power Agency,South Feather Water and Power Agency,South Feather  and Power Agency,South Feather  and Power Agency,South Feather  and Power Agency
Red Bluff  City of,Red Bluff  City of,Red Bluff  ,Red Bluff  ,Red Bluff  ,Red Bluff  
El Segundo  City of,El Segundo  City of,El Segundo  ,El Segundo  ,El Segundo  ,El Segundo  
Alco Water Service,Alco Water Service,Alco Water Service,Alco  Service,Alco  Service,Alco  Service
"Anderson, City of","Anderson, City of","Anderson, ","Anderson, ",Anderson ,Anderson 
Arvin Community Services District,Arvin Community Services ,Arvin Community Services ,Arvin Community Services ,Arvin Community Services ,Arvin  Services 
Atascadero Mutual Water Company,Atascadero Mutual Water Company,Atascadero Mutual Water Company,Atascadero Mutual  Company,Atascadero Mutual  Company,Atascadero Mutual  Company
Atwater  City of,Atwater  City of,Atwater  ,Atwater  ,Atwater  ,Atwater  
Bakersfield  City of,Bakersfield  City of,Bakersfield  ,Bakersfield  ,Bakersfield  ,Bakersfield  
Bella Vista Water District,Bella Vista Water ,Bella Vista Water ,Bella Vista  ,Bella Vista  ,Bella Vista  
Covina  City of ,Covina  City of ,Covina   ,Covina   ,Covina   ,Covina   
Del Oro Water Company,Del Oro Water Company,Del Oro Water Company,Del Oro  Company,Del Oro  Company,Del Oro  Company
Discovery Bay Community Services District,Discovery Bay Community Services ,Discovery Bay Community Services ,Discovery Bay Community Services ,Discovery Bay Community Services ,Discovery Bay  Services 
Fairfield  City of,Fairfield  City of,Fairfield  ,Fairfield  ,Fairfield  ,Fairfield  
Fillmore  City of,Fillmore  City of,Fillmore  ,Fillmore  ,Fillmore  ,Fillmore  
"Greenfield, City of","Greenfield, City of","Greenfield, ","Greenfield, ",Greenfield ,Greenfield 
Healdsburg  City of,Healdsburg  City of,Healdsburg  ,Healdsburg  ,Healdsburg  ,Healdsburg  
"Kingsburg, City of","Kingsburg, City of","Kingsburg, ","Kingsburg, ",Kingsburg ,Kingsburg 
Lamont Public Utility District,Lamont Public Utility ,Lamont Public Utility ,Lamont Public Utility ,Lamont Public Utility ,Lamont Public Utility 
"Lathrop, City of ","Lathrop, City of ","Lathrop,  ","Lathrop,  ",Lathrop  ,Lathrop  
Lee Lake Water District,Lee Lake Water ,Lee Lake Water ,Lee Lake  ,Lee Lake  ,Lee Lake  
Livingston  City of,Livingston  City of,Livingston  ,Livingston  ,Livingston  ,Livingston  
Madera County,Madera County,Madera County,Madera County,Madera County,Madera County
Manteca  City of,Manteca  City of,Manteca  ,Manteca  ,Manteca  ,Manteca  
Montecito Water District,Montecito Water ,Montecito Water ,Montecito  ,Montecito  ,Montecito  
Monterey Park  City of,Monterey Park  City of,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  
Myoma Dunes Mutual Water Company,Myoma Dunes Mutual Water Company,Myoma Dunes Mutual Water Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  Company
Norco  City of,Norco  City of,Norco  ,Norco  ,Norco  ,Norco  
Oakdale  City of,Oakdale  City of,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  
"Perris, City of","Perris, City of","Perris, ","Perris, ",Perris ,Perris 
Pinedale County Water District,Pinedale County Water ,Pinedale County Water ,Pinedale County  ,Pinedale County  ,Pinedale County  
Porterville  City of,Porterville  City of,Porterville  ,Porterville  ,Porterville  ,Porterville  
Redding  City of,Redding  City of,Redding  ,Redding  ,Redding  ,Redding  
Ripon  City of,Ripon  City of,Ripon  ,Ripon  ,Ripon  ,Ripon  
Riverbank  City of,Riverbank  City of,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  
San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70
Sanger  City of,Sanger  City of,Sanger  ,Sanger  ,Sanger  ,Sanger  
Shasta Lake  City of,Shasta Lake  City of,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  
Vallejo  City of,Vallejo  City of,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  
Winton Water & Sanitary District,Winton Water & Sanitary ,Winton Water & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary 
Big Bear City Community Services District,Big Bear City Community Services ,Big Bear City Community Services ,Big Bear City Community Services ,Big Bear City Community Services ,Big Bear City  Services 
"Corcoran, City of","Corcoran, City of","Corcoran, ","Corcoran, ",Corcoran ,Corcoran 
City of Newman Water Department,City of Newman Water Department, Newman Water Department, Newman  Department, Newman  Department, Newman  Department
Coalinga City of,Coalinga City of,Coalinga ,Coalinga ,Coalinga ,Coalinga 
